country,date,indicator,description,value
New Zealand,2023,NY.GDP.MKTP.CD,GDP (current US$),252175506110.168
New Zealand,2022,NY.GDP.MKTP.CD,GDP (current US$),246733522841.353
New Zealand,2021,NY.GDP.MKTP.CD,GDP (current US$),253644079784.977
New Zealand,2020,NY.GDP.MKTP.CD,GDP (current US$),212697530897.56
New Zealand,2019,NY.GDP.MKTP.CD,GDP (current US$),212846907683.439
New Zealand,2018,NY.GDP.MKTP.CD,GDP (current US$),211846555690.736
New Zealand,2017,NY.GDP.MKTP.CD,GDP (current US$),206566916732.292
New Zealand,2016,NY.GDP.MKTP.CD,GDP (current US$),188898209220.167
New Zealand,2015,NY.GDP.MKTP.CD,GDP (current US$),178104220784.881
New Zealand,2014,NY.GDP.MKTP.CD,GDP (current US$),201337554959.49
New Zealand,2013,NY.GDP.MKTP.CD,GDP (current US$),190909855416.34
New Zealand,2012,NY.GDP.MKTP.CD,GDP (current US$),176210710655.208
New Zealand,2011,NY.GDP.MKTP.CD,GDP (current US$),168295307149.46
New Zealand,2010,NY.GDP.MKTP.CD,GDP (current US$),146517541181.254
New Zealand,2009,NY.GDP.MKTP.CD,GDP (current US$),121373602348.679
New Zealand,2008,NY.GDP.MKTP.CD,GDP (current US$),133131369930.414
New Zealand,2007,NY.GDP.MKTP.CD,GDP (current US$),137188946865.584
New Zealand,2006,NY.GDP.MKTP.CD,GDP (current US$),111538810712.665
New Zealand,2005,NY.GDP.MKTP.CD,GDP (current US$),114720129550.095
New Zealand,2004,NY.GDP.MKTP.CD,GDP (current US$),103905210084.034
New Zealand,2003,NY.GDP.MKTP.CD,GDP (current US$),88250885550.2626
New Zealand,2002,NY.GDP.MKTP.CD,GDP (current US$),66627729311.4495
New Zealand,2001,NY.GDP.MKTP.CD,GDP (current US$),53872425916.6248
New Zealand,2000,NY.GDP.MKTP.CD,GDP (current US$),52623281956.7031
New Zealand,1999,NY.GDP.MKTP.CD,GDP (current US$),58762260625.8758
New Zealand,1998,NY.GDP.MKTP.CD,GDP (current US$),56227169851.0448
New Zealand,1997,NY.GDP.MKTP.CD,GDP (current US$),66075143415.4952
New Zealand,1996,NY.GDP.MKTP.CD,GDP (current US$),70140835299.0148
New Zealand,1995,NY.GDP.MKTP.CD,GDP (current US$),63918703506.9075
New Zealand,1994,NY.GDP.MKTP.CD,GDP (current US$),55314732279.1379
New Zealand,1993,NY.GDP.MKTP.CD,GDP (current US$),46775620817.4327
New Zealand,1992,NY.GDP.MKTP.CD,GDP (current US$),41649829859.6342
New Zealand,1991,NY.GDP.MKTP.CD,GDP (current US$),42745329732.163
United States,2023,NY.GDP.MKTP.CD,GDP (current US$),27720709000000.0
United States,2022,NY.GDP.MKTP.CD,GDP (current US$),26006893000000.0
United States,2021,NY.GDP.MKTP.CD,GDP (current US$),23681171000000.0
United States,2020,NY.GDP.MKTP.CD,GDP (current US$),21354105000000.0
United States,2019,NY.GDP.MKTP.CD,GDP (current US$),21539982000000.0
United States,2018,NY.GDP.MKTP.CD,GDP (current US$),20656516000000.0
United States,2017,NY.GDP.MKTP.CD,GDP (current US$),19612102000000.0
United States,2016,NY.GDP.MKTP.CD,GDP (current US$),18804913000000.0
United States,2015,NY.GDP.MKTP.CD,GDP (current US$),18295019000000.0
United States,2014,NY.GDP.MKTP.CD,GDP (current US$),17608138000000.0
United States,2013,NY.GDP.MKTP.CD,GDP (current US$),16880683000000.0
United States,2012,NY.GDP.MKTP.CD,GDP (current US$),16253970000000.0
