country,date,BX.KLT.DINV.CD.WD,CC.EST,GC.DOD.TOTL.GD.ZS,GE.EST,IC.BUS.EASE.XQ,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,RL.EST
Brazil,1991,1103000000.0,,,,,8.67763659887868,7.91444116378595,342534090909.091,2257.6092968885,
Brazil,1992,2061000000.0,,,,,10.8683116605935,8.38506312730241,328191909882.232,2127.31642731638,
Brazil,1993,1292000000.0,,,,,10.5032716554144,9.09604889204913,368292034380.96,2348.88247685352,
Brazil,1994,3072000000.0,,,,,9.51307642702004,9.16168336908223,525369467295.737,3298.71250747787,
Brazil,1995,4859000000.0,,,,,7.52887503847073,9.45558496072482,769333050986.905,4756.74840785403,
Brazil,1996,12552000000.0,-0.0185795314610004,,-0.143133714795113,,6.73020968312685,8.90538179274132,850426432991.742,5179.13052002464,-0.223502203822136
Brazil,1997,18992934310.6468,,,,,6.98364957530895,9.59255968601575,883206179730.462,5299.39630404412,
Brazil,1998,28855609916.42,0.0414753258228302,,-0.201571121811867,,7.03050033871807,9.40808459248784,863710759256.435,5105.89099544117,-0.202992081642151
Brazil,1999,28385675614.9902,,,,,9.5648982609794,11.4172682172491,599642024319.531,3493.57162513699,
Brazil,2000,32994718699.75,0.0132387839257717,,0.0430850870907307,,10.1880480043795,12.4517133524146,655448231983.527,3766.54811466032,-0.244871854782104
Brazil,2001,23225846372.251,,,,,12.37171066993,14.564574352134,559983634798.981,3176.28935747524,
Brazil,2002,16586600193.114,0.0819423124194145,,-0.0346153452992439,,14.2305902713775,13.3877671308534,509795273806.715,2855.94018885769,-0.266611307859421
Brazil,2003,10123013670.9901,0.090239018201828,,0.0817573666572571,,15.1807837086861,12.9596010144732,558233745651.874,3090.6070097455,-0.367893666028976
Brazil,2004,18161380459.7533,-0.0272687114775181,,-0.0922709181904793,,16.5457615119353,13.1324909668183,669289424806.307,3663.823188064,-0.400920122861862
Brazil,2005,15459981604.1196,-0.153748139739037,,-0.157670244574547,,15.2438292672646,11.8429659383147,891633839853.105,4827.78173052472,-0.475531458854675
Brazil,2006,19418085598.0794,-0.120479896664619,,-0.391295492649078,,14.3743163003006,11.6673835850045,1107626541710.74,5934.1447107274,-0.402620196342468
Brazil,2007,44579492463.6336,-0.0839887857437134,,-0.290289968252182,,13.327675103099,11.9649362705808,1397114486471.38,7409.69130727951,-0.40977942943573
Brazil,2008,50716402711.4787,0.0034373681992292,,-0.148200899362564,,13.5340005124035,13.723568904076,1695855083552.05,8908.33176567294,-0.288044780492783
Brazil,2009,31480931700.0,-0.079985611140728,,-0.151303574442863,,10.851371134098,11.2546044706088,1666996438681.46,8678.65922498836,-0.103854693472385
Brazil,2010,82389932468.07,0.0438063591718674,61.3187804611479,-0.0868625491857529,,10.8655847746965,11.9065933373084,2208837745214.23,11403.2821284616,0.0564144365489483
Brazil,2011,102427228231.42,0.168382421135902,59.3416583014604,-0.152404069900513,,11.5825126782808,12.3518924970444,2616156223977.47,13396.6243566047,0.0451417230069637
Brazil,2012,92568388321.34,-0.0468542315065861,59.8494899958247,-0.16054867208004,,11.8775390694448,13.2367345392086,2465227803011.57,12521.7213530369,-0.0769327953457832
Brazil,2013,75211029129.4,-0.0979596078395844,57.228409380258,-0.119030974805355,,11.742230645138,14.0437266803948,2472819535742.73,12458.891214816,-0.0920452028512955
Brazil,2014,87713983217.24,-0.366117089986801,58.4572711058609,-0.175920635461807,,11.0119428190539,13.6734629940752,2456043727198.85,12274.9939689363,-0.0529657602310181
Brazil,2015,64738153494.44,-0.457840710878372,67.5375540277116,-0.255271553993225,,12.9001914177405,14.0534345182709,1802212206904.68,8936.19661756825,-0.187332957983017
Brazil,2016,74294627801.19,-0.446095585823059,73.4188038096758,-0.249387070536613,,12.4666790443888,12.0670030360511,1795693482652.52,8836.28652636996,-0.201301991939545
Brazil,2017,68885491315.23,-0.559814631938934,83.6692026509366,-0.317140609025955,,12.5189678700669,11.8007665046081,2063514977334.32,10080.5092817775,-0.305428564548492
Brazil,2018,78183840044.98,-0.480954378843307,86.6078841199146,-0.520569622516632,,14.6349994952986,14.2412038806757,1916933898038.36,9300.66164936497,-0.30234295129776
Brazil,2019,69174411753.45,-0.40789270401001,92.5652531882782,-0.234114676713943,124.0,14.1229191903622,14.7673386775793,1873288205186.45,9029.83326742175,-0.224319815635681
Brazil,2020,38270116307.45,-0.429083496332169,98.7098819546545,-0.465709209442139,,16.4535520107044,15.8485265356365,1476107231194.11,7074.19378281866,-0.231919765472412
Brazil,2021,46440503520.19,-0.499217957258224,85.0115036701985,-0.492990374565125,,19.1094303673866,18.5469003894967,1670647399034.67,7972.53665048385,-0.301417380571365
Brazil,2022,74606361830.23,-0.566354334354401,79.1023218878495,-0.588259339332581,,19.6307650034371,19.1853009729027,1951923942083.32,9281.33334441234,-0.257879137992859
Brazil,2023,62441880089.59,-0.503643155097961,83.6989369386242,-0.546764314174652,,18.1102794216442,15.7436671722105,2173665655937.27,10294.866680778,-0.308802843093872
China,1991,4366000000.0,,,,,14.4878781448342,11.4618459582464,383373318083.624,333.142145400184,
China,1992,11156000000.0,,,,,15.6582196753392,14.4874967782585,426915712715.856,366.460692306116,
China,1993,27515000000.0,,,,,16.7022945502994,19.3537833179487,444731282435.515,377.3898394789,
China,1994,33787000000.0,,,,,18.536841051673,17.2331523968491,564321854521.013,473.489916407064,
China,1995,35849200000.0,,,,,17.9525593720078,16.3244794663664,734484834573.582,609.604337927454,
China,1996,40180000000.0,-0.271189510822296,,-0.348653882741928,,17.9232416590318,15.8914021302523,863749314718.538,709.415888233368,-0.545589983463287
China,1997,45439000000.0,,,,,19.4932044346528,15.0398837413974,961601980984.623,781.74256121344,
China,1998,45644000000.0,-0.353955000638962,,-0.198783293366432,,18.342006982237,14.0821331520758,1029060747620.65,828.594691043134,-0.476805359125137
China,1999,41014000000.0,,,,,18.1625864572871,15.3617777891571,1094003874937.34,873.292336318005,
China,2000,42095300000.0,-0.208548709750175,,-0.158842876553535,,20.8937072974529,18.5173265975939,1211331651866.09,959.360431369138,-0.51611715555191
China,2001,47053000000.0,,,,,20.312067216126,18.21514310996,1339400897105.11,1053.11231442789,
China,2002,53073618897.4036,-0.557897567749023,,-0.123097203671932,,22.6446280317419,20.1025535239991,1470557654799.95,1148.51425710711,-0.517029762268066
China,2003,57900937467.3864,-0.395265489816666,,-0.147587299346924,,26.9808771439925,24.82334243075,1660280543846.79,1288.63749134336,-0.553043842315674
China,2004,68117272181.2194,-0.565061569213867,,-0.109930388629436,,31.0613413353482,28.4441900780444,1955346768721.39,1508.66791560781,-0.585468709468842
China,2005,104108693867.085,-0.617887735366821,,-0.140640497207642,,33.829927750047,28.3780941731833,2285961149879.85,1753.41419160544,-0.650172889232635
China,2006,124082035618.506,-0.51888769865036,,0.0357880145311356,,36.0351972897845,28.4439939103899,2752118657184.02,2099.2194300499,-0.699893414974213
China,2007,156249335203.202,-0.599234640598297,,0.165997371077538,,35.4349475807119,26.7586775044594,3550327802998.4,2693.95873160283,-0.597397744655609
China,2008,171534650311.569,-0.526307642459869,,0.165779024362564,,32.6025028810906,25.0098393604755,4594336785737.67,3468.32706307504,-0.479174673557281
China,2009,131057052869.5,-0.519456624984741,,0.0932420492172241,,24.7499139061302,20.4350623009177,5101691124285.21,3832.2274569094,-0.46321377158165
China,2010,243703434558.178,-0.570009887218475,,0.0918448567390442,,27.1853327204051,23.5317449422952,6087191746679.49,4550.47394356715,-0.472601860761642
China,2011,280072219149.935,-0.514727592468262,,0.0836087092757225,,26.5681893451605,24.1727152412604,7551545703440.75,5614.38602225277,-0.453809976577759
China,2012,241213868161.42,-0.438275933265686,,0.0153677640482783,,25.4925222245396,22.7750001428637,8532185381680.59,6300.58217951734,-0.545384466648102
China,2013,290928431467.003,-0.355887651443481,,-0.0051206895150244,,24.599254436897,22.1451211404583,9570471111831.68,7020.3860742288,-0.52588939666748
China,2014,268097181064.335,-0.337719589471817,,0.354851633310318,,23.5100609074235,21.3951550469261,10475624944355.2,7636.07434020616,-0.396053194999695
China,2015,242489331627.399,-0.299921870231628,,0.417423009872437,,21.3540798828848,18.110089452417,11061572618578.7,8016.44559489998,-0.408455699682236
China,2016,174749584584.051,-0.268094301223755,,0.356383770704269,,19.5843800536482,17.3100349634307,11233313730348.7,8094.39016735149,-0.32396873831749
China,2017,166083755721.649,-0.291626125574112,,0.416875630617142,,19.6922769882201,17.9401362522062,12310491333980.9,8817.04560829162,-0.255178093910217
China,2018,235365050036.341,-0.286848217248917,,0.496678441762924,,19.1121035364139,18.4536805657234,13894907857880.6,9905.40638304527,-0.186479195952415
China,2019,187169822364.755,-0.312614381313324,,0.544862508773804,32.0,18.4099923154801,17.4801037187624,14279968506271.7,10143.8602206165,-0.261681526899338
China,2020,253095616058.58,-0.0710281431674957,,0.643971681594849,,18.5861391981332,16.1681565014734,14687744162801.0,10408.7195541075,-0.102505102753639
China,2021,344074977062.48,0.0302335843443871,,0.80791163444519,,19.9439738307083,17.3580170349289,17820459508852.2,12617.5051041181,0.0102688856422901
China,2022,190203789092.51,0.0160636715590954,,0.494212538003922,,20.7914830663638,17.5599990173084,17881782683707.3,12662.5826712038,-0.04217629134655
China,2023,42727679407.24,-0.0053701046854257,,0.679014027118683,,19.7430723247274,17.573699039207,17794783039552.0,12614.0617416421,-0.0401299707591534
"Egypt, Arab Rep.",1991,253000000.0,,,,,27.4666666666667,35.3777777777778,37387836490.5284,622.829605007867,
"Egypt, Arab Rep.",1992,459000000.0,,,,,28.3968368080518,30.9130122214234,41855986519.4235,680.79923864551,
"Egypt, Arab Rep.",1993,493000000.0,,,,,25.8376288659794,30.090206185567,46578631452.581,740.334217356418,
"Egypt, Arab Rep.",1994,1256000000.0,,,,,22.5714285714286,28.0571428571429,51897983392.6453,807.303537230487,
"Egypt, Arab Rep.",1995,598000000.0,,,,,22.5490196078431,27.6960784313726,60159245060.4541,916.326617700876,
"Egypt, Arab Rep.",1996,636000000.0,-0.472254395484924,,-0.473676085472107,,20.7497820401046,26.1987794245859,67629716981.1321,1008.97637629447,0.0012624410446733
"Egypt, Arab Rep.",1997,890550000.0,,,,,18.8416698006769,24.8965776607747,78436578171.0914,1146.20172117634,
"Egypt, Arab Rep.",1998,1076000000.0,-0.477870136499405,,-0.204747274518013,,16.214335421016,25.7132915796799,84828807556.0803,1212.82259820477,-0.126968279480934
"Egypt, Arab Rep.",1999,1065300000.0,,,,,15.0520156046814,23.3094928478544,90710704806.8416,1268.30949160496,
"Egypt, Arab Rep.",2000,1235000000.0,-0.4926677942276,,-0.174759328365326,,16.2011173184358,22.8168185827698,99838543960.0763,1366.09274372613,-0.0515826977789402
"Egypt, Arab Rep.",2001,509900000.0,,,,,17.4797881237803,22.330638416504,96684636118.5984,1295.1374184163,
"Egypt, Arab Rep.",2002,646900000.0,-0.44015771150589,,-0.446098297834396,,18.3161784111903,22.6708894167326,85146067415.7303,1116.82884626213,-0.0114680724218488
"Egypt, Arab Rep.",2003,237400000.0,-0.530747950077057,,-0.389788568019867,,21.7964071856287,24.3832335329341,80288461538.4615,1031.27556291284,-0.0023544689174741
"Egypt, Arab Rep.",2004,1253300000.0,-0.583505749702454,,-0.278711497783661,,28.2299608489594,29.5899443643107,78782467532.4675,991.255689145253,0.0133178951218724
"Egypt, Arab Rep.",2005,5375600000.0,-0.539499521255493,,-0.399056732654572,,30.3435468895079,32.6090993500464,89600665557.4043,1104.80340733395,-0.0012232348090037
"Egypt, Arab Rep.",2006,10042800000.0,-0.737334072589874,,-0.49823722243309,,29.9498138254816,31.5687226809131,107426086956.522,1298.97900203124,-0.278967440128326
"Egypt, Arab Rep.",2007,11578100000.0,-0.737870097160339,85.7885338345865,-0.374726384878159,,30.249731471536,34.828141783029,130437828371.278,1547.74170735909,-0.246213480830193
"Egypt, Arab Rep.",2008,9494600000.0,-0.765909254550934,,-0.380703538656235,,33.0429927414852,38.6376326074819,162818181818.182,1896.21594269779,-0.129783600568771
"Egypt, Arab Rep.",2009,6711600000.0,-0.464862793684006,,-0.208088099956512,,24.9568221070812,31.596622529265,189147005444.646,2161.63964573927,-0.0833449959754944
"Egypt, Arab Rep.",2010,6385600000.0,-0.596871852874756,,-0.321309953927994,,21.3492458146859,26.5871042599039,218983666061.706,2455.08194645282,-0.174863860011101
"Egypt, Arab Rep.",2011,-482700000.0,-0.633263945579529,,-0.440889060497284,,20.5674276128656,24.6882065494858,235989672977.625,2590.64384891965,-0.483893096446991
"Egypt, Arab Rep.",2012,2797700000.0,-0.579664349555969,,-0.681878209114075,,16.3969666208873,24.3148026512211,279116666666.667,2996.0677072015,-0.536399841308594
"Egypt, Arab Rep.",2013,4192200000.0,-0.614102065563202,,-0.782936871051788,,17.0178456245969,23.3551924317351,288434108527.132,3025.52563552448,-0.73585569858551
"Egypt, Arab Rep.",2014,4612200000.0,-0.575518012046814,,-0.716656744480133,,14.2441314553991,22.6760563380282,305595408895.265,3133.39102265541,-0.698402404785156
"Egypt, Arab Rep.",2015,6925200000.0,-0.600906729698181,,-0.690327763557434,,13.1838454928598,21.6620974671631,329366576819.407,3306.98159414141,-0.601831138134003
"Egypt, Arab Rep.",2016,8106800000.0,-0.590893149375916,,-0.536168873310089,,10.3454639403558,19.9010851110947,332441717791.411,3270.6287768197,-0.477475792169571
"Egypt, Arab Rep.",2017,7408700000.0,-0.495982348918915,,-0.530632019042969,,15.0140868185672,27.8180475395935,248362771739.13,2395.10333299491,-0.448036134243011
"Egypt, Arab Rep.",2018,8141300000.0,-0.514722347259521,,-0.454036295413971,,17.984655608418,27.9263640649779,262588632526.73,2484.70315630508,-0.301445573568344
"Egypt, Arab Rep.",2019,9010100000.0,-0.655317544937134,,-0.251354306936264,114.0,16.6440314510365,24.4799857040743,318678815489.749,2962.98892023003,-0.332123339176178
"Egypt, Arab Rep.",2020,5851800000.0,-0.810433626174927,,-0.44617161154747,,12.4727757370868,19.6534798296655,383817841547.099,3511.11381026379,-0.317483067512512
"Egypt, Arab Rep.",2021,5122300000.0,-0.70594334602356,,-0.457696795463562,,10.5611502153652,19.295823265447,424671765455.704,3827.35415374308,-0.260645717382431
